source_file,page_num,type,term,definition,canonical_id,raw_text,confidence
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,"Disputes Resolution Committee
The Committee shall have the following functions","1. Deciding on objections submitted against the decisions of the FTA regarding the
applications for reconsideration.
2. Deciding on the applications for reconsideration submitted to the FTA on which no
decision has been made in accordance with the provisions of Federal Decree Law No. (28)
of on Tax Procedures.",disputes_resolution_committee_the_committee_shall_have_the_following_functions,"Disputes Resolution Committee
The Committee shall have the following functions : 1. Deciding on objections submitted against the decisions of the FTA regarding the
applications for reconsideration.
2. Deciding on the applications for reconsideration submitted to the FTA on which no
decision has been made in accordance with the provisions of Federal Decree Law No. (28)
of on Tax Procedures.",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,Committee shall not be admitted in any of the following cases,"a. If no application for reconsideration has initially been submitted to the FTA.
b. If the objection has not been filed within the time limit specified in Clause (1) of this",committee_shall_not_be_admitted_in_any_of_the_following_cases,"Committee shall not be admitted in any of the following cases : a. If no application for reconsideration has initially been submitted to the FTA.
b. If the objection has not been filed within the time limit specified in Clause (1) of this",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,3,citation,,,federal_decree_law_28_2022,"Federal
Decree Law No. (28) of 2022",0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,3,citation,,,federal_decree_law_28_2022,"Federal
Decree Law No. (28) of 2022 referred to hereinabove.",0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,3,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Regulating the Procedures for Objections and Appeals by Government 3,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,3,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,4,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Regulating the Procedures for Objections and Appeals by Government 4,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,citation,,,federal_decree_law_28_2022,Federal Decree Law No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,citation,,,federal_decree_law_28_2022,Federal Decree Law No. (28) of 2022 on Tax Procedures and its Executive,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Regulating the Procedures for Objections and Appeals by Government 5,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,term_definition,"Mohammed bin Rashid Al Maktoum
Prime Minister
Issued by Us","On: 11 Sha'ban, 1446 AH",mohammed_bin_rashid_al_maktoum_prime_minister_issued_by_us,"Mohammed bin Rashid Al Maktoum
Prime Minister
Issued by Us : On: 11 Sha'ban, 1446 AH",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,term_definition,Corresponding to,"10 February, 2025 AD",corresponding_to,"Corresponding to : 10 February, 2025 AD",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Regarding Regulating the Procedures,of Objections and Appeals by,regarding_regulating_the_procedures,Regarding Regulating the Procedures of Objections and Appeals by,0.7945667684712137
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,Deciding on the applications,for reconsideration submitted to the FTA on which no,deciding_on_the_applications,Deciding on the applications for reconsideration submitted to the FTA on which no,0.8455861513808881
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,If no application for,reconsideration has initially been submitted to the FTA.,if_no_application_for,If no application for reconsideration has initially been submitted to the FTA.,0.6872742780750457
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,If the objection has,not been filed within the time limit specified in Clause (1) of this,if_the_objection_has,If the objection has not been filed within the time limit specified in Clause (1) of this,0.7263980084612187
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,5,citation,,,federal_decree_law,The provisions of Federal Decree Law No.,0.7268490479443397
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,cabinet_resolution_34_2025,Cabinet Resolution No. (34) of 2025,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,federal_decree_law_28_2022,Federal Decree by Law No. (28) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,cabinet_resolution_81_2023,Cabinet Resolution No. (81) of 2023,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,cabinet_resolution_34_2025,Cabinet Resolution No. (34) of 2025,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,cabinet_resolution_81_2023,Cabinet Resolution No. (81) of 2023 Regarding the conditions for Qualifying Investment,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,34_2025_34_2025,No. (34) of 2025,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,47_2022_47_2022,No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,47_2022_47_2022,No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,81_2023_81_2023,No. (81) of 2023,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,47_2022_47_2022,No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,citation,,,47_2022_47_2022,No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,term_definition,"Regarding
Taxation of Corporations and Business
The Cabinet","− Having Reviewed the Constitution;
− Federal Decree by Law No. (28) of 2022 Regarding Tax Procedures, as amended;
− Federal Decree by Law No. (47) of 2022 Regarding Taxation of Corporations and",regarding_taxation_of_corporations_and_business_the_cabinet,"Regarding
Taxation of Corporations and Business
The Cabinet : − Having Reviewed the Constitution;
− Federal Decree by Law No. (28) of 2022 Regarding Tax Procedures, as amended;
− Federal Decree by Law No. (47) of 2022 Regarding Taxation of Corporations and",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,term_definition,Hereby resolves as follows,Article (1),hereby_resolves_as_follows,Hereby resolves as follows : Article (1),0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,term_definition,Investment,The business or business activity of issuing investment interests to,investment,Investment : The business or business activity of issuing investment interests to,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,1,term_definition,Immovable,Means any of the following:,immovable,Immovable : Means any of the following:,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,2,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,2,term_definition,Income from,The net profit realized from a right in rem in immovable property,income_from,Income from : The net profit realized from a right in rem in immovable property,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,2,term_definition,Immovable,The value of immovable property located in the State held by the,immovable,Immovable : The value of immovable property located in the State held by the,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,citation,,,47_2022_47_2022,No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,Real Estate,This term shall have the meaning assigned to it in the relevant,real_estate,Real Estate : This term shall have the meaning assigned to it in the relevant,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,Net Profit,"The net profit as recorded in the financial statements under the arm’s-
length principle, allocated in proportion to the investor's ownership
interest, after excluding the income attributable to the Investment",net_profit,"Net Profit : The net profit as recorded in the financial statements under the arm’s-
length principle, allocated in proportion to the investor's ownership
interest, after excluding the income attributable to the Investment",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,Ownership,The rights and interests of any kind held directly by an investor in a,ownership,Ownership : The rights and interests of any kind held directly by an investor in a,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,Qualifying,A limited partnership with legal personality established under the,qualifying,Qualifying : A limited partnership with legal personality established under the,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,Corporate Tax,Federal Decree by Law No. (47) of 2022 Regarding Taxation of,corporate_tax,Corporate Tax : Federal Decree by Law No. (47) of 2022 Regarding Taxation of,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,3,term_definition,"Authority for exemption from Corporate Tax as a
Qualifying Investment Fund","Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for
3
the Purposes of Federal Decree by Law of 2022 Regarding Taxation of Corporations and Business",authority_for_exemption_from_corporate_tax_as_a_qualifying_investment_fund,"Authority for exemption from Corporate Tax as a
Qualifying Investment Fund : Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for
3
the Purposes of Federal Decree by Law of 2022 Regarding Taxation of Corporations and Business",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,4,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,4,term_definition,"Investment Business if one or both of the
following conditions are met","1. They are subject to Corporate Tax in the State through the Investment Manager.
2. They are conducted by an Investment Manager that meets the conditions
stipulated in Clause (1) of Article (15) of the Corporate Tax Law, provided that the
term ""Resident Person"" shall replace the term ""Non-Resident Person"" stipulated in
that Clause.
c. Any other business or business activities conducted by the Investment Fund shall be
deemed ancillary or incidental to the Investment Business if the combined revenues
of such business or business activities do not exceed five percent (5%) of the total
revenues of the Investment Fund in the concerned fiscal year.",investment_business_if_one_or_both_of_the_following_conditions_are_met,"Investment Business if one or both of the
following conditions are met : 1. They are subject to Corporate Tax in the State through the Investment Manager.
2. They are conducted by an Investment Manager that meets the conditions
stipulated in Clause (1) of Article (15) of the Corporate Tax Law, provided that the
term ""Resident Person"" shall replace the term ""Non-Resident Person"" stipulated in
that Clause.
c. Any other business or business activities conducted by the Investment Fund shall be
deemed ancillary or incidental to the Investment Business if the combined revenues
of such business or business activities do not exceed five percent (5%) of the total
revenues of the Investment Fund in the concerned fiscal year.",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,5,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,5,term_definition,Qualifying Investment Fund as a result of,"Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for
5
the Purposes of Federal Decree by Law of 2022 Regarding Taxation of Corporations and Business",qualifying_investment_fund_as_a_result_of,"Qualifying Investment Fund as a result of : Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for
5
the Purposes of Federal Decree by Law of 2022 Regarding Taxation of Corporations and Business",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,6,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,7,citation,,,federal_decree_law_28_2022,Federal Decree by Law No. (28) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,7,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,7,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,7,term_definition,Authority for exemption from Corporate Tax as a Qualifying Investment Fund,"a. The value of Immovable Property, excluding land, managed or owned by the Real",authority_for_exemption_from_corporate_tax_as_a_qualifying_investment_fund,"Authority for exemption from Corporate Tax as a Qualifying Investment Fund : a. The value of Immovable Property, excluding land, managed or owned by the Real",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,7,term_definition,Any of the following shall be met,1.,any_of_the_following_shall_be_met,Any of the following shall be met : 1.,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,8,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,9,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,9,term_definition,An institutional investor shall be any of the following,"a. Government Entity.
b. A Government Controlled Entity.
c. Any legal person wholly owned and controlled by either of the entities referred to in",an_institutional_investor_shall_be_any_of_the_following,"An institutional investor shall be any of the following : a. Government Entity.
b. A Government Controlled Entity.
c. Any legal person wholly owned and controlled by either of the entities referred to in",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,10,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,11,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,11,term_definition,"Investment Business if one or
both of the following conditions are met","1. They are subject to corporate tax in the State through the Investment Manager.
2. It is conducted by an Investment Manager that meets the requirements set forth in
clause (1) of Article (15) of the Corporate Tax Law, provided that any reference
therein to ""Qualifying Limited Partnership"" shall be read as reference to ""Non-",investment_business_if_one_or_both_of_the_following_conditions_are_met,"Investment Business if one or
both of the following conditions are met : 1. They are subject to corporate tax in the State through the Investment Manager.
2. It is conducted by an Investment Manager that meets the requirements set forth in
clause (1) of Article (15) of the Corporate Tax Law, provided that any reference
therein to ""Qualifying Limited Partnership"" shall be read as reference to ""Non-",0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,12,citation,,,federal_decree_law_28_2022,"Federal Decree by Law No.
(28) of 2022",0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,12,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,12,citation,,,28_2022_28_2022,"No.
(28) of 2022",0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,12,term_definition,Corporation Tax purposes shall be as follows,a. For assets and liabilities that were held prior to the first Tax Period in which the,corporation_tax_purposes_shall_be_as_follows,Corporation Tax purposes shall be as follows : a. For assets and liabilities that were held prior to the first Tax Period in which the,0.98
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,13,citation,,,cabinet_resolution_81_2023,Cabinet Resolution No. (81) of 2023,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,13,citation,,,federal_decree_law_47_2022,Federal Decree by Law No. (47) of 2022,0.95
Cabinet Resolution No. (34) of 2025 Regarding Qualifying Investment Funds and Qualifying Limited Partnerships for the Purpo.pdf,13,citation,,,cabinet_resolution_81_2023,Cabinet Resolution No. (81) of 2023 Regarding the Conditions of Qualifying Investment,0.95
